"url";"titulo_periodico";"h5-index"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=AAPS+PHARMSCI&btnG=";"AAPS PharmSciTech";"55"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ABATIR%C3%81&btnG=";"Abatirá-Revista de Ciências Humanas e Linguagens";"6"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ABCD.+ARQUIVOS+BRASILEIROS+DE+CIRURGIA+DIGESTIVA&btnG=";"ABCD. Arquivos Brasileiros de Cirurgia Digestiva";"19"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ABCS+HEALTH+SCIENCES&btnG=";"ABCS Health Sciences";"7"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ABDOMINAL+RADIOLOGY&btnG=";"Abdominal Radiology";"50"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ABDOMINAL+RADIOLOGY&btnG=";"Journal of Gastrointestinal and Abdominal Radiology";"6"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ABEI+JOURNAL&btnG=";"ABEI Journal";"2"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIA+JOURNAL+OF+SCIENTIFIC+RESEARCH&btnG=";"Journal of the American Academy of Orthopaedic Surgeons. Global Research & Reviews";"29"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIA+JOURNAL+OF+SCIENTIFIC+RESEARCH&btnG=";"Management Research: Journal of the Iberoamerican Academy of Management";"17"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIA+JOURNAL+OF+SCIENTIFIC+RESEARCH&btnG=";"The Journal of Academic Social Science Studies";"11"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIA+JOURNAL+OF+SCIENTIFIC+RESEARCH&btnG=";"Journal for the Academic Study of Religion";"7"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+JOURNAL+OF+SCIENCE&btnG=";"Journal of Scientific Computing";"47"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+JOURNAL+OF+SCIENCE&btnG=";"SCIENTIFIC JOURNAL OF REFLECTION: Economic, Accounting, Management and Business";"28"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+JOURNAL+OF+SCIENCE&btnG=";"Journal for the Scientific Study of Religion";"26"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+JOURNAL+OF+SCIENCE&btnG=";"International Journal of Scientific and Technology Research";"24"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+JOURNAL+OF+SCIENCE&btnG=";"Arab Gulf Journal of Scientific Research";"22"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+JOURNAL+OF+SCIENCE&btnG=";"Journal of Scientific & Industrial Research";"21"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+JOURNAL+OF+SCIENCE&btnG=";"International Journal of Modeling, Simulation, and Scientific Computing";"20"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+JOURNAL+OF+SCIENCE&btnG=";"Scientific Journal of Informatics";"18"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+JOURNAL+OF+SCIENCE&btnG=";"LITERACY: International Scientific Journals of Social, Education, Humanities";"17"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+JOURNAL+OF+SCIENCE&btnG=";"All Fields of Science Journal Liaison Academia and Sosiety";"17"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+JOURNAL+OF+SCIENCE&btnG=";"Jurnal Ilmiah Keperawatan (Scientific Journal of Nursing)";"15"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+JOURNAL+OF+SCIENCE&btnG=";"Journal of education and scientific medicine";"15"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+JOURNAL+OF+SCIENCE&btnG=";"The Scientific Journal of Rehabilitation Medicine";"14"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+JOURNAL+OF+SCIENCE&btnG=";"Journal of Scientific Research in Medical and Biological Sciences";"14"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+JOURNAL+OF+SCIENCE&btnG=";"Journal of Advanced Scientific Research";"14"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+JOURNAL+OF+SCIENCE&btnG=";"Sportis-Scientific Technical Journal of School Sport Physical Education and Psychomotricity";"13"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+JOURNAL+OF+SCIENCE&btnG=";"Journal of Scientific Research";"13"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+JOURNAL+OF+SCIENCE&btnG=";"ARO: The Scientific Journal of Koya University";"13"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+JOURNAL+OF+SCIENCE&btnG=";"International Journal of Academic Reserach in Economics and Management Sciences";"12"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+JOURNAL+OF+SCIENCE&btnG=";"Scientific Journal of Astana IT University";"12"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+PSYCHIATRY&btnG=";"Journal of School Psychology";"50"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+PSYCHIATRY&btnG=";"School Psychology Review";"43"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+PSYCHIATRY&btnG=";"School Psychology";"41"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+PSYCHIATRY&btnG=";"Journal of Positive School Psychology";"37"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+PSYCHIATRY&btnG=";"Contemporary School Psychology";"31"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+PSYCHIATRY&btnG=";"Academic Psychiatry";"29"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+PSYCHIATRY&btnG=";"School Psychology International";"28"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+PSYCHIATRY&btnG=";"International Journal of School & Educational Psychology";"27"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+PSYCHIATRY&btnG=";"Canadian Journal of School Psychology";"24"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+PSYCHIATRY&btnG=";"Scientific Bulletin of Mukachevo State University. Series “Pedagogy and Psychology”";"11"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACADEMIC+PSYCHIATRY&btnG=";"Bulletin of Yerevan University E: Philosophy, Psychology";"1"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACAROLOGIA&btnG=";"Acarologia";"13"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACS+EARTH+AND+SPACE+CHEMISTRY&btnG=";"ACS Earth and Space Chemistry";"39"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACS+CHEMICAL+NEUROSCIENCE&btnG=";"ACS Chemical Neuroscience";"61"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACS+INFECTIOUS+DISEASES&btnG=";"ACS Infectious Diseases";"56"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+AGRONOMICA&btnG=";"Acta Biológica Colombiana";"15"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+AGRONOMICA&btnG=";"Acta Agronómica";"12"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+AGRONOMICA&btnG=";"Acta Biologica Turcica";"9"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+AGRONOMICA&btnG=";"Acta Biologica Cracoviensia Series Botanica";"9"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+AGRONOMICA&btnG=";"Acta Biologica Sibirica";"9"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+AGRONOMICA&btnG=";"Acta Biológica Catarinense";"7"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+AGRONOMICA&btnG=";"Acta Biologica Szegediensis";"6"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+AGRONOMICA&btnG=";"Acta Biologica Plantarum Agriensis";"4"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACS+OMEGA&btnG=";"ACS Omega";"122"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+AMAZONICA&btnG=";"Acta Amazonica";"15"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+BIOETHICA&btnG=";"Acta Bioethica";"13"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+COLOMBIANA+DE+PSICOLOGIA&btnG=";"Acta Colombiana de Psicología";"22"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+CIR%C3%9ARGICA+BRASILEIRA&btnG=";"Acta Cirúrgica Brasileira";"17"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+DIABETOLOGICA&btnG=";"Acta Diabetologica";"49"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+FISIATRICA&btnG=";"Acta Fisiátrica";"10"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+GASTROENTEROL%C3%93GICA+LATINOAMERICANA&btnG=";"Acta Gastroenterologica Latinoamericana";"10"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+FISI%C3%81TRICA&btnG=";"Acta Fisiátrica";"10"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+HISTOCHEMICA&btnG=";"Acta Histochemica";"29"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+LIMNOLOGICA+BRASILIENSIA&btnG=";"Acta Limnologica Brasiliensia";"14"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+M%C3%89DICA+PORTUGUESA&btnG=";"Acta Médica Portuguesa";"23"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+NEUROPSYCHIATRICA&btnG=";"Acta Neuropsychiatrica";"27"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+NEUROPATHOLOGICA&btnG=";"Acta Neuropathologica";"80"
